timestamp,open_15m,high_15m,low_15m,close_15m,volume,tick_count
2022-01-02 17:45:00,1.35292,1.35319,1.3526,1.35269,0,15
2022-01-02 18:00:00,1.35287,1.35338,1.35257,1.35258,0,15
2022-01-02 18:15:00,1.35257,1.35275,1.3523,1.3524,0,15
2022-01-02 18:30:00,1.3524,1.35242,1.35227,1.3523,0,15
2022-01-02 18:45:00,1.35233,1.35234,1.35201,1.35216,0,15
2022-01-02 19:00:00,1.35209,1.35251,1.35205,1.35212,0,15
2022-01-02 19:15:00,1.35215,1.35241,1.3521,1.3523,0,15
2022-01-02 19:30:00,1.35232,1.35246,1.35211,1.35241,0,15
2022-01-02 19:45:00,1.35241,1.35241,1.35164,1.35164,0,15
2022-01-02 20:00:00,1.35166,1.35236,1.35154,1.35235,0,15
2022-01-02 20:15:00,1.35236,1.35291,1.35218,1.35253,0,15
2022-01-02 20:30:00,1.35254,1.35254,1.35149,1.3519,0,15
2022-01-02 20:45:00,1.35189,1.3519,1.3515,1.35168,0,15
2022-01-02 21:00:00,1.3517,1.3517,1.35063,1.35106,0,15
2022-01-02 21:15:00,1.35106,1.35123,1.35099,1.351,0,15
2022-01-02 21:30:00,1.351,1.35111,1.35055,1.35111,0,15
2022-01-02 21:45:00,1.35112,1.35122,1.35036,1.3504,0,15
2022-01-02 22:15:00,1.35029,1.35029,1.34978,1.34994,0,15
2022-01-02 22:30:00,1.34992,1.34998,1.34948,1.34979,0,15
2022-01-02 22:45:00,1.34979,1.35015,1.34967,1.34989,0,15
2022-01-02 23:00:00,1.34998,1.35043,1.34962,1.35042,0,15
2022-01-02 23:15:00,1.35041,1.35053,1.35037,1.3505,0,15
2022-01-02 23:30:00,1.35051,1.35051,1.35038,1.3504,0,15
2022-01-02 23:45:00,1.35039,1.35041,1.34947,1.34978,0,15
2022-01-03 00:00:00,1.3498,1.35004,1.3497,1.34981,0,15
2022-01-03 00:15:00,1.34979,1.34995,1.34964,1.34968,0,15
2022-01-03 00:30:00,1.34967,1.34995,1.3495,1.34992,0,15
2022-01-03 00:45:00,1.34992,1.35002,1.34971,1.34982,0,15
2022-01-03 01:00:00,1.34983,1.3503,1.34982,1.35021,0,15
2022-01-03 01:15:00,1.35023,1.35024,1.34972,1.35004,0,15
2022-01-03 01:30:00,1.35003,1.35061,1.35001,1.35031,0,15
2022-01-03 01:45:00,1.3503,1.35078,1.3503,1.35053,0,15
2022-01-03 02:00:00,1.35057,1.35065,1.34963,1.35062,0,15
2022-01-03 02:15:00,1.35062,1.35064,1.34999,1.34999,0,15
2022-01-03 02:30:00,1.35,1.35012,1.3496,1.3499,0,15
2022-01-03 02:45:00,1.34991,1.35059,1.34981,1.35054,0,15
2022-01-03 03:00:00,1.35054,1.35119,1.35029,1.35059,0,15
2022-01-03 03:15:00,1.35058,1.35141,1.35053,1.35121,0,15
2022-01-03 03:30:00,1.3512,1.35167,1.35111,1.35159,0,15
2022-01-03 03:45:00,1.35157,1.35229,1.35125,1.35221,0,15
2022-01-03 04:00:00,1.35221,1.35278,1.3517,1.35271,0,15
2022-01-03 04:15:00,1.3527,1.35273,1.35171,1.35171,0,15
2022-01-03 04:30:00,1.3517,1.35216,1.35126,1.35171,0,15
2022-01-03 04:45:00,1.35171,1.352,1.35146,1.35169,0,15
2022-01-03 05:00:00,1.35169,1.35238,1.35167,1.35219,0,15
2022-01-03 05:15:00,1.35224,1.35245,1.35185,1.35185,0,15
2022-01-03 05:30:00,1.35186,1.35187,1.35113,1.35128,0,15
2022-01-03 05:45:00,1.35126,1.35142,1.35093,1.3511,0,15
2022-01-03 06:00:00,1.3511,1.35141,1.35101,1.3514,0,15
2022-01-03 06:15:00,1.35139,1.3522,1.35139,1.35149,0,15
2022-01-03 06:30:00,1.35149,1.35177,1.3513,1.35139,0,15
2022-01-03 06:45:00,1.35139,1.35139,1.35079,1.35101,0,15
2022-01-03 07:00:00,1.35105,1.35118,1.35033,1.35062,0,15
2022-01-03 07:15:00,1.35061,1.3507,1.3502,1.3506,0,15
2022-01-03 07:30:00,1.35059,1.35059,1.35005,1.35023,0,15
2022-01-03 07:45:00,1.35022,1.35073,1.35015,1.35053,0,15
2022-01-03 08:00:00,1.35056,1.35066,1.34951,1.34961,0,15
2022-01-03 08:15:00,1.34962,1.35012,1.34909,1.35003,0,15
2022-01-03 08:30:00,1.35002,1.35006,1.34852,1.34902,0,15
2022-01-03 08:45:00,1.34902,1.34906,1.3483,1.34869,0,15
2022-01-03 09:00:00,1.34867,1.3492,1.34797,1.34814,0,15
2022-01-03 09:15:00,1.34815,1.34815,1.34685,1.34733,0,15
2022-01-03 09:30:00,1.34736,1.34863,1.34693,1.34778,0,15
2022-01-03 09:45:00,1.34779,1.34794,1.34549,1.346,0,15
2022-01-03 10:00:00,1.34601,1.34648,1.34515,1.34557,0,15
2022-01-03 10:15:00,1.34557,1.34575,1.34368,1.3441,0,15
2022-01-03 10:30:00,1.34409,1.34419,1.34304,1.34388,0,15
2022-01-03 10:45:00,1.34389,1.34479,1.3438,1.34468,0,15
2022-01-03 11:00:00,1.34467,1.34525,1.34363,1.34418,0,15
2022-01-03 11:15:00,1.34418,1.34572,1.34391,1.34566,0,15
2022-01-03 11:30:00,1.34566,1.34646,1.34542,1.34593,0,15
2022-01-03 11:45:00,1.34593,1.34687,1.34592,1.3466,0,15
2022-01-03 12:00:00,1.3466,1.34757,1.34655,1.34742,0,15
2022-01-03 12:15:00,1.34741,1.34748,1.34686,1.34692,0,15
2022-01-03 12:30:00,1.34692,1.34741,1.34678,1.34741,0,15
2022-01-03 12:45:00,1.34742,1.34768,1.34692,1.34711,0,15
2022-01-03 13:00:00,1.34711,1.3478,1.34699,1.34765,0,15
