timestamp,open_15m,high_15m,low_15m,close_15m,volume,tick_count
2023-01-01 18:00:00,1.20615,1.20668,1.20494,1.20664,0,5
2023-01-01 18:15:00,1.20566,1.20904,1.20563,1.20794,0,12
2023-01-01 18:30:00,1.20794,1.20882,1.20748,1.20806,0,15
2023-01-01 18:45:00,1.20848,1.20959,1.20757,1.20926,0,8
2023-01-01 19:00:00,1.20921,1.20951,1.20891,1.20924,0,15
2023-01-01 19:15:00,1.20926,1.20948,1.20867,1.20882,0,15
2023-01-01 19:30:00,1.20876,1.20937,1.20797,1.20807,0,15
2023-01-01 19:45:00,1.20801,1.20872,1.20798,1.20855,0,15
2023-01-01 20:00:00,1.20851,1.21004,1.20803,1.2091,0,15
2023-01-01 20:15:00,1.20895,1.20912,1.20873,1.20873,0,15
2023-01-01 20:30:00,1.20876,1.20898,1.20832,1.20832,0,15
2023-01-01 20:45:00,1.20857,1.20857,1.2076,1.20809,0,15
2023-01-01 21:00:00,1.20821,1.20834,1.20777,1.20788,0,15
2023-01-01 21:15:00,1.20787,1.20788,1.20707,1.20735,0,12
2023-01-01 21:30:00,1.20743,1.2078,1.20689,1.20744,0,15
2023-01-01 21:45:00,1.20725,1.20784,1.20668,1.20675,0,15
2023-01-01 22:00:00,1.20676,1.20694,1.20671,1.20691,0,15
2023-01-01 22:15:00,1.2069,1.20736,1.20658,1.20696,0,15
2023-01-01 22:30:00,1.20697,1.20735,1.20661,1.20727,0,15
2023-01-01 22:45:00,1.20728,1.20728,1.20682,1.20691,0,15
2023-01-01 23:00:00,1.20691,1.20752,1.20684,1.20728,0,15
2023-01-01 23:15:00,1.20725,1.2077,1.20714,1.20732,0,15
2023-01-01 23:30:00,1.20733,1.20771,1.2071,1.20719,0,15
2023-01-01 23:45:00,1.20716,1.20746,1.20705,1.20726,0,15
2023-01-02 00:00:00,1.2072,1.20737,1.20684,1.20692,0,15
2023-01-02 00:15:00,1.20697,1.20722,1.20689,1.20692,0,15
2023-01-02 00:30:00,1.20691,1.20728,1.2068,1.20713,0,15
2023-01-02 00:45:00,1.20715,1.20744,1.20678,1.20703,0,15
2023-01-02 01:00:00,1.20702,1.20724,1.20652,1.20657,0,15
2023-01-02 01:15:00,1.20658,1.20671,1.20654,1.20663,0,15
2023-01-02 01:30:00,1.20668,1.20697,1.20609,1.20627,0,15
2023-01-02 01:45:00,1.20628,1.20731,1.2061,1.20708,0,15
2023-01-02 02:00:00,1.2069,1.20734,1.20682,1.20691,0,15
2023-01-02 02:15:00,1.20684,1.20713,1.20657,1.20668,0,15
2023-01-02 02:30:00,1.20668,1.20698,1.2063,1.20668,0,15
2023-01-02 02:45:00,1.20667,1.20699,1.20581,1.20608,0,15
2023-01-02 03:00:00,1.20661,1.20705,1.2062,1.20675,0,15
2023-01-02 03:15:00,1.20677,1.20712,1.20634,1.20671,0,15
2023-01-02 03:30:00,1.2067,1.20688,1.20616,1.20641,0,15
2023-01-02 03:45:00,1.20646,1.20772,1.20417,1.20461,0,15
2023-01-02 04:00:00,1.2046,1.20546,1.20408,1.20491,0,15
2023-01-02 04:15:00,1.20493,1.20586,1.20486,1.2053,0,15
2023-01-02 04:30:00,1.20538,1.20563,1.20449,1.20498,0,15
2023-01-02 04:45:00,1.20491,1.2052,1.20429,1.20452,0,15
2023-01-02 05:00:00,1.20453,1.20483,1.2045,1.20467,0,15
2023-01-02 05:15:00,1.20465,1.2054,1.2046,1.20529,0,15
2023-01-02 05:30:00,1.20527,1.20533,1.20501,1.2051,0,15
2023-01-02 05:45:00,1.2051,1.20513,1.20498,1.20505,0,15
2023-01-02 06:00:00,1.20507,1.20518,1.20495,1.20513,0,14
2023-01-02 06:15:00,1.20516,1.20523,1.20491,1.20512,0,15
2023-01-02 06:30:00,1.20502,1.20518,1.20495,1.20513,0,15
2023-01-02 06:45:00,1.20514,1.20531,1.20499,1.20505,0,15
2023-01-02 07:00:00,1.20505,1.20517,1.20499,1.20505,0,15
2023-01-02 07:15:00,1.20504,1.20515,1.20497,1.20512,0,15
2023-01-02 07:30:00,1.20511,1.20529,1.20505,1.20506,0,15
2023-01-02 07:45:00,1.20505,1.20518,1.20503,1.20509,0,15
2023-01-02 08:00:00,1.20506,1.20519,1.20503,1.20519,0,15
2023-01-02 08:15:00,1.20519,1.2052,1.20504,1.20512,0,15
2023-01-02 08:30:00,1.20513,1.20521,1.205,1.2051,0,15
2023-01-02 08:45:00,1.2051,1.20513,1.205,1.20508,0,15
2023-01-02 09:00:00,1.20506,1.20516,1.20495,1.20513,0,15
2023-01-02 09:15:00,1.2051,1.2052,1.205,1.20509,0,15
2023-01-02 09:30:00,1.20509,1.2051,1.20499,1.20505,0,15
2023-01-02 09:45:00,1.20506,1.2052,1.20501,1.20504,0,15
2023-01-02 10:00:00,1.20505,1.20517,1.20502,1.20509,0,15
2023-01-02 10:15:00,1.20506,1.20508,1.20491,1.20496,0,15
2023-01-02 10:30:00,1.20496,1.20501,1.20489,1.20497,0,15
2023-01-02 10:45:00,1.20497,1.20502,1.20419,1.20428,0,15
2023-01-02 11:00:00,1.20429,1.20451,1.20325,1.20433,0,15
2023-01-02 11:15:00,1.20434,1.20464,1.20428,1.2045,0,15
2023-01-02 11:30:00,1.2045,1.20463,1.20443,1.20451,0,15
2023-01-02 11:45:00,1.20452,1.20466,1.20446,1.20455,0,15
2023-01-02 12:00:00,1.20456,1.2047,1.20449,1.20457,0,15
2023-01-02 12:15:00,1.20453,1.20459,1.20448,1.20455,0,14
2023-01-02 12:30:00,1.20455,1.20459,1.20453,1.20456,0,12
2023-01-02 12:45:00,1.20456,1.2046,1.20442,1.20447,0,15
2023-01-02 13:00:00,1.20447,1.20449,1.20433,1.20433,0,15
2023-01-02 13:15:00,1.20437,1.2045,1.20433,1.20437,0,15
2023-01-02 13:30:00,1.20442,1.20455,1.20437,1.20439,0,15
2023-01-02 13:45:00,1.20441,1.20449,1.20434,1.2044,0,15
2023-01-02 14:00:00,1.20438,1.20449,1.20432,1.20435,0,15
2023-01-02 14:15:00,1.20437,1.20447,1.20423,1.2043,0,15
2023-01-02 14:30:00,1.2043,1.20443,1.2043,1.20435,0,15
2023-01-02 14:45:00,1.20436,1.20443,1.20426,1.20438,0,15
2023-01-02 15:00:00,1.20438,1.20449,1.20425,1.20443,0,15
2023-01-02 15:15:00,1.20443,1.20467,1.20426,1.20457,0,14
2023-01-02 15:30:00,1.20457,1.20466,1.20432,1.20432,0,15
2023-01-02 15:45:00,1.20433,1.20462,1.20424,1.20457,0,14
2023-01-02 16:00:00,1.20456,1.20467,1.20423,1.20453,0,15
2023-01-02 16:15:00,1.20433,1.20473,1.20432,1.2045,0,15
2023-01-02 16:30:00,1.20457,1.20463,1.20426,1.20452,0,15
2023-01-02 16:45:00,1.20451,1.20464,1.20427,1.20443,0,15
2023-01-02 17:00:00,1.20436,1.20453,1.20424,1.20428,0,13
2023-01-02 17:15:00,1.20424,1.20469,1.20424,1.20469,0,15
2023-01-02 17:30:00,1.20469,1.20469,1.2045,1.20452,0,14
2023-01-02 17:45:00,1.20453,1.20465,1.20425,1.20456,0,12
2023-01-02 18:00:00,1.20445,1.20749,1.20445,1.20601,0,15
2023-01-02 18:15:00,1.20599,1.20644,1.20478,1.20592,0,15
2023-01-02 18:30:00,1.20591,1.20621,1.20547,1.20592,0,15
2023-01-02 18:45:00,1.20589,1.20634,1.20572,1.20625,0,15
2023-01-02 19:00:00,1.20624,1.20652,1.20544,1.20572,0,15
2023-01-02 19:15:00,1.20568,1.20568,1.20479,1.20507,0,15
2023-01-02 19:30:00,1.20506,1.2061,1.20499,1.20588,0,15
2023-01-02 19:45:00,1.20586,1.20622,1.20534,1.20536,0,15
2023-01-02 20:00:00,1.20536,1.2054,1.20368,1.20489,0,15
2023-01-02 20:15:00,1.20489,1.20558,1.20344,1.20435,0,15
2023-01-02 20:30:00,1.20436,1.20491,1.20349,1.2037,0,15
2023-01-02 20:45:00,1.20371,1.20507,1.20344,1.20506,0,15
2023-01-02 21:00:00,1.20504,1.20587,1.20491,1.20546,0,15
2023-01-02 21:15:00,1.20545,1.20635,1.20511,1.20609,0,15
2023-01-02 21:30:00,1.20608,1.20759,1.20602,1.20757,0,15
2023-01-02 21:45:00,1.20765,1.20838,1.20697,1.20787,0,15
2023-01-02 22:00:00,1.20788,1.20847,1.20742,1.20751,0,15
2023-01-02 22:15:00,1.20751,1.2077,1.20696,1.20728,0,15
2023-01-02 22:30:00,1.20727,1.20803,1.20717,1.20792,0,15
2023-01-02 22:45:00,1.20797,1.20812,1.20718,1.20734,0,15
2023-01-02 23:00:00,1.20737,1.20844,1.20716,1.2079,0,15
2023-01-02 23:15:00,1.20789,1.20843,1.20773,1.20794,0,15
2023-01-02 23:30:00,1.20795,1.20824,1.20783,1.2079,0,15
2023-01-02 23:45:00,1.20791,1.2083,1.2072,1.20724,0,15
2023-01-03 00:00:00,1.20722,1.20766,1.20718,1.20723,0,15
2023-01-03 00:15:00,1.20723,1.20763,1.20653,1.20682,0,15
2023-01-03 00:30:00,1.2068,1.20715,1.20627,1.20699,0,15
2023-01-03 00:45:00,1.20699,1.20714,1.20655,1.2069,0,15
2023-01-03 01:00:00,1.2069,1.20743,1.20671,1.20723,0,15
2023-01-03 01:15:00,1.20723,1.20731,1.20644,1.20678,0,15
2023-01-03 01:30:00,1.20678,1.2071,1.20638,1.20657,0,15
2023-01-03 01:45:00,1.20656,1.20661,1.20573,1.20626,0,15
2023-01-03 02:00:00,1.20623,1.2068,1.206,1.20621,0,15
2023-01-03 02:15:00,1.20621,1.20725,1.20599,1.20715,0,15
2023-01-03 02:30:00,1.20712,1.2079,1.20616,1.20666,0,15
2023-01-03 02:45:00,1.20666,1.20684,1.20216,1.20283,0,15
2023-01-03 03:00:00,1.20283,1.2032,1.19555,1.19597,0,15
2023-01-03 03:15:00,1.19596,1.19648,1.19487,1.19556,0,15
2023-01-03 03:30:00,1.19562,1.19577,1.19351,1.19438,0,15
2023-01-03 03:45:00,1.19435,1.19448,1.19112,1.19118,0,15
2023-01-03 04:00:00,1.19118,1.19238,1.18999,1.19164,0,15
2023-01-03 04:15:00,1.19164,1.19304,1.191,1.193,0,15
2023-01-03 04:30:00,1.193,1.19444,1.19289,1.19313,0,15
2023-01-03 04:45:00,1.19313,1.19335,1.19171,1.19231,0,15
2023-01-03 05:00:00,1.19232,1.19349,1.19169,1.19249,0,15
2023-01-03 05:15:00,1.1925,1.1929,1.19109,1.19166,0,15
2023-01-03 05:30:00,1.19167,1.19198,1.19083,1.19153,0,15
2023-01-03 05:45:00,1.19153,1.19183,1.19045,1.19086,0,15
2023-01-03 06:00:00,1.19087,1.19201,1.19063,1.19189,0,15
2023-01-03 06:15:00,1.19187,1.19299,1.19158,1.19279,0,15
2023-01-03 06:30:00,1.19279,1.19453,1.19274,1.19366,0,15
2023-01-03 06:45:00,1.19366,1.194,1.19307,1.1931,0,15
2023-01-03 07:00:00,1.19308,1.19409,1.19237,1.19403,0,15
2023-01-03 07:15:00,1.19405,1.19551,1.19382,1.19541,0,15
2023-01-03 07:30:00,1.19542,1.19736,1.19533,1.19736,0,15
2023-01-03 07:45:00,1.19737,1.19741,1.19511,1.19554,0,15
2023-01-03 08:00:00,1.19557,1.19772,1.19476,1.19762,0,15
2023-01-03 08:15:00,1.19762,1.19909,1.19738,1.19803,0,15
2023-01-03 08:30:00,1.19803,1.20046,1.19794,1.20028,0,15
2023-01-03 08:45:00,1.20028,1.20101,1.19925,1.19925,0,15
2023-01-03 09:00:00,1.19926,1.20024,1.19827,1.20018,0,15
2023-01-03 09:15:00,1.20015,1.20142,1.19912,1.20124,0,15
2023-01-03 09:30:00,1.20125,1.20572,1.20063,1.20487,0,15
2023-01-03 09:45:00,1.20485,1.20511,1.20289,1.20292,0,15
2023-01-03 10:00:00,1.20296,1.20365,1.20152,1.20212,0,15
2023-01-03 10:15:00,1.20211,1.20276,1.20061,1.20095,0,15
2023-01-03 10:30:00,1.20093,1.20305,1.20031,1.20207,0,15
2023-01-03 10:45:00,1.20207,1.20353,1.2003,1.20085,0,15
2023-01-03 11:00:00,1.20085,1.20111,1.1988,1.19903,0,15
2023-01-03 11:15:00,1.19903,1.1991,1.19793,1.1986,0,15
2023-01-03 11:30:00,1.19861,1.19864,1.19602,1.19655,0,15
2023-01-03 11:45:00,1.19655,1.19712,1.19557,1.19683,0,15
2023-01-03 12:00:00,1.19682,1.19782,1.19651,1.19746,0,15
2023-01-03 12:15:00,1.19745,1.19789,1.19578,1.19584,0,15
2023-01-03 12:30:00,1.19585,1.19688,1.19545,1.19643,0,15
2023-01-03 12:45:00,1.19641,1.19646,1.19524,1.19643,0,15
2023-01-03 13:00:00,1.19643,1.19742,1.19618,1.19709,0,15
2023-01-03 13:15:00,1.1971,1.19873,1.19682,1.19868,0,15
2023-01-03 13:30:00,1.19867,1.19872,1.19739,1.19823,0,15
2023-01-03 13:45:00,1.19824,1.19835,1.19767,1.19791,0,15
2023-01-03 14:00:00,1.19792,1.19814,1.19772,1.19797,0,15
2023-01-03 14:15:00,1.19797,1.1982,1.19741,1.19796,0,15
2023-01-03 14:30:00,1.19799,1.19819,1.19736,1.19809,0,15
2023-01-03 14:45:00,1.19811,1.19847,1.19797,1.19836,0,15
2023-01-03 15:00:00,1.19837,1.19888,1.19837,1.19886,0,15
2023-01-03 15:15:00,1.19887,1.19912,1.19731,1.19786,0,15
2023-01-03 15:30:00,1.19785,1.19832,1.19738,1.19744,0,15
2023-01-03 15:45:00,1.19744,1.19792,1.197,1.19725,0,15
2023-01-03 16:00:00,1.19723,1.1973,1.19671,1.19683,0,15
2023-01-03 16:15:00,1.19683,1.19715,1.19658,1.19672,0,15
2023-01-03 16:30:00,1.19671,1.19692,1.19658,1.19659,0,15
2023-01-03 16:45:00,1.19659,1.19679,1.19636,1.19643,0,15
2023-01-03 17:00:00,1.19642,1.19647,1.19607,1.19647,0,12
2023-01-03 17:15:00,1.19647,1.19719,1.19637,1.1966,0,10
2023-01-03 17:30:00,1.19668,1.1968,1.19638,1.19651,0,15
2023-01-03 17:45:00,1.19651,1.19673,1.19648,1.19672,0,15
2023-01-03 18:00:00,1.19672,1.19748,1.19654,1.1972,0,15
2023-01-03 18:15:00,1.19719,1.19723,1.196,1.19606,0,15
2023-01-03 18:30:00,1.19606,1.19702,1.19573,1.19654,0,15
2023-01-03 18:45:00,1.19656,1.19699,1.19637,1.19657,0,15
2023-01-03 19:00:00,1.19658,1.19876,1.19651,1.19852,0,15
2023-01-03 19:15:00,1.19852,1.19877,1.19829,1.19867,0,15
2023-01-03 19:30:00,1.19867,1.19925,1.19867,1.19898,0,15
2023-01-03 19:45:00,1.199,1.19942,1.19863,1.19893,0,15
2023-01-03 20:00:00,1.19894,1.19929,1.19828,1.19839,0,15
2023-01-03 20:15:00,1.19841,1.19916,1.19841,1.19876,0,15
2023-01-03 20:30:00,1.19876,1.19953,1.19851,1.19922,0,15
2023-01-03 20:45:00,1.19923,1.19962,1.19891,1.19936,0,15
2023-01-03 21:00:00,1.19936,1.20006,1.19932,1.19993,0,15
2023-01-03 21:15:00,1.19994,1.19998,1.19893,1.19914,0,15
2023-01-03 21:30:00,1.19913,1.19917,1.19839,1.1986,0,15
2023-01-03 21:45:00,1.19861,1.19876,1.19834,1.19846,0,15
2023-01-03 22:00:00,1.19846,1.19907,1.19844,1.19869,0,15
2023-01-03 22:15:00,1.19871,1.19888,1.19851,1.19866,0,15
2023-01-03 22:30:00,1.19865,1.19889,1.19854,1.19876,0,15
2023-01-03 22:45:00,1.19876,1.19905,1.1986,1.19887,0,15
2023-01-03 23:00:00,1.19889,1.19894,1.19858,1.19867,0,15
2023-01-03 23:15:00,1.19867,1.19896,1.19851,1.19875,0,15
2023-01-03 23:30:00,1.19877,1.19881,1.1982,1.19871,0,15
2023-01-03 23:45:00,1.19871,1.19951,1.19832,1.19914,0,15
2023-01-04 00:00:00,1.19914,1.20002,1.19865,1.19898,0,15
2023-01-04 00:15:00,1.19901,1.19924,1.19833,1.19835,0,15
2023-01-04 00:30:00,1.19838,1.19844,1.19782,1.19828,0,15
2023-01-04 00:45:00,1.19828,1.19854,1.19808,1.19838,0,15
2023-01-04 01:00:00,1.19836,1.19892,1.19795,1.19883,0,15
2023-01-04 01:15:00,1.19884,1.19899,1.19846,1.19872,0,15
2023-01-04 01:30:00,1.19871,1.19872,1.1971,1.19797,0,15
2023-01-04 01:45:00,1.19799,1.19902,1.19796,1.19859,0,15
2023-01-04 02:00:00,1.19857,1.20076,1.19836,1.20065,0,15
2023-01-04 02:15:00,1.20066,1.20131,1.20032,1.20124,0,15
2023-01-04 02:30:00,1.2012,1.20401,1.2012,1.2038,0,15
2023-01-04 02:45:00,1.20388,1.20388,1.20217,1.20261,0,15
2023-01-04 03:00:00,1.2026,1.20697,1.20252,1.20691,0,15
2023-01-04 03:15:00,1.20686,1.20859,1.20669,1.20741,0,15
2023-01-04 03:30:00,1.20742,1.20842,1.20593,1.20597,0,15
2023-01-04 03:45:00,1.20598,1.2066,1.20422,1.20443,0,15
2023-01-04 04:00:00,1.20443,1.20593,1.20382,1.20577,0,15
2023-01-04 04:15:00,1.20573,1.20727,1.20562,1.2072,0,15
2023-01-04 04:30:00,1.20724,1.20766,1.20615,1.20647,0,15
2023-01-04 04:45:00,1.20648,1.20706,1.20578,1.20597,0,15
2023-01-04 05:00:00,1.20597,1.2062,1.20516,1.2059,0,15
2023-01-04 05:15:00,1.20591,1.20668,1.20564,1.20644,0,15
2023-01-04 05:30:00,1.20648,1.20799,1.20639,1.20752,0,15
2023-01-04 05:45:00,1.20754,1.20815,1.20629,1.20672,0,15
2023-01-04 06:00:00,1.20672,1.20875,1.20645,1.2086,0,15
2023-01-04 06:15:00,1.20862,1.20864,1.20579,1.20598,0,15
2023-01-04 06:30:00,1.20598,1.20602,1.20483,1.20497,0,15
2023-01-04 06:45:00,1.20496,1.20566,1.2038,1.20544,0,15
2023-01-04 07:00:00,1.20543,1.20625,1.2051,1.20533,0,15
2023-01-04 07:15:00,1.20534,1.20589,1.20487,1.20493,0,15
2023-01-04 07:30:00,1.20494,1.20526,1.20393,1.20443,0,15
2023-01-04 07:45:00,1.20443,1.20534,1.20343,1.20482,0,15
2023-01-04 08:00:00,1.20483,1.20558,1.20328,1.20328,0,15
2023-01-04 08:15:00,1.20328,1.20558,1.20289,1.20537,0,15
2023-01-04 08:30:00,1.20537,1.2064,1.20501,1.20602,0,15
2023-01-04 08:45:00,1.20603,1.20619,1.20508,1.2056,0,15
2023-01-04 09:00:00,1.20558,1.2061,1.20422,1.20605,0,15
2023-01-04 09:15:00,1.20604,1.20619,1.20472,1.20486,0,15
2023-01-04 09:30:00,1.20488,1.20573,1.20399,1.20426,0,15
2023-01-04 09:45:00,1.20426,1.20731,1.20389,1.20682,0,15
2023-01-04 10:00:00,1.20682,1.20696,1.20132,1.20239,0,15
2023-01-04 10:15:00,1.20237,1.205,1.2019,1.20497,0,15
2023-01-04 10:30:00,1.20499,1.20524,1.20369,1.20513,0,15
2023-01-04 10:45:00,1.20512,1.20594,1.20427,1.20445,0,15
2023-01-04 11:00:00,1.20447,1.20554,1.20331,1.20345,0,15
2023-01-04 11:15:00,1.20349,1.20359,1.20185,1.20346,0,15
2023-01-04 11:30:00,1.20347,1.20547,1.20321,1.205,0,15
2023-01-04 11:45:00,1.205,1.20597,1.2049,1.20597,0,15
2023-01-04 12:00:00,1.206,1.20712,1.20561,1.20649,0,15
2023-01-04 12:15:00,1.20648,1.20695,1.20611,1.20641,0,15
2023-01-04 12:30:00,1.2064,1.2074,1.20635,1.207,0,15
2023-01-04 12:45:00,1.20699,1.20764,1.2062,1.20653,0,15
2023-01-04 13:00:00,1.20653,1.20725,1.20624,1.20687,0,15
2023-01-04 13:15:00,1.20685,1.20723,1.20634,1.20648,0,15
2023-01-04 13:30:00,1.20646,1.20675,1.20597,1.20601,0,15
2023-01-04 13:45:00,1.20602,1.20665,1.20598,1.20626,0,15
2023-01-04 14:00:00,1.20618,1.20677,1.20406,1.20548,0,15
2023-01-04 14:15:00,1.20546,1.20684,1.20485,1.20506,0,15
2023-01-04 14:30:00,1.20506,1.20615,1.20495,1.20551,0,15
2023-01-04 14:45:00,1.20552,1.2061,1.20528,1.20588,0,15
2023-01-04 15:00:00,1.20589,1.20615,1.20546,1.20568,0,15
2023-01-04 15:15:00,1.20567,1.20668,1.2055,1.20621,0,15
2023-01-04 15:30:00,1.2062,1.20668,1.20582,1.20595,0,15
2023-01-04 15:45:00,1.20595,1.20646,1.20564,1.20583,0,15
2023-01-04 16:00:00,1.20583,1.20589,1.20543,1.20569,0,15
2023-01-04 16:15:00,1.20567,1.20575,1.20562,1.20573,0,15
2023-01-04 16:30:00,1.20571,1.20584,1.20558,1.20562,0,15
2023-01-04 16:45:00,1.20562,1.20581,1.2052,1.20524,0,15
2023-01-04 17:00:00,1.20507,1.20541,1.20507,1.20529,0,11
2023-01-04 17:15:00,1.20532,1.20582,1.20528,1.2058,0,15
2023-01-04 17:30:00,1.20572,1.20589,1.20546,1.20562,0,12
2023-01-04 17:45:00,1.2056,1.20589,1.2056,1.20576,0,15
2023-01-04 18:00:00,1.20579,1.20598,1.20565,1.20567,0,15
2023-01-04 18:15:00,1.20568,1.20589,1.2056,1.20571,0,15
2023-01-04 18:30:00,1.20572,1.206,1.20556,1.20586,0,15
2023-01-04 18:45:00,1.20585,1.20588,1.20556,1.20556,0,15
2023-01-04 19:00:00,1.20556,1.20556,1.20499,1.20527,0,15
2023-01-04 19:15:00,1.20526,1.20705,1.20522,1.207,0,15
2023-01-04 19:30:00,1.20702,1.20706,1.20604,1.20621,0,15
2023-01-04 19:45:00,1.20621,1.20779,1.20607,1.20728,0,15
2023-01-04 20:00:00,1.20727,1.2077,1.20705,1.20724,0,15
2023-01-04 20:15:00,1.20726,1.20738,1.20657,1.20662,0,15
2023-01-04 20:30:00,1.20662,1.20674,1.20606,1.20625,0,15
2023-01-04 20:45:00,1.20625,1.20682,1.20608,1.20627,0,15
2023-01-04 21:00:00,1.20624,1.20628,1.20434,1.20486,0,15
2023-01-04 21:15:00,1.20485,1.2056,1.20446,1.20455,0,15
2023-01-04 21:30:00,1.20455,1.20514,1.20441,1.20489,0,15
2023-01-04 21:45:00,1.20489,1.20513,1.20454,1.20478,0,15
2023-01-04 22:00:00,1.20477,1.20499,1.20458,1.20467,0,15
2023-01-04 22:15:00,1.20466,1.20477,1.20414,1.2043,0,15
2023-01-04 22:30:00,1.20433,1.20486,1.20431,1.20478,0,15
2023-01-04 22:45:00,1.20478,1.20489,1.20349,1.20364,0,15
2023-01-04 23:00:00,1.20362,1.20408,1.20335,1.20335,0,15
2023-01-04 23:15:00,1.20336,1.20358,1.20321,1.20338,0,15
2023-01-04 23:30:00,1.20337,1.20372,1.20335,1.20358,0,15
2023-01-04 23:45:00,1.20359,1.20401,1.20344,1.20376,0,15
2023-01-05 00:00:00,1.20371,1.20388,1.20339,1.20362,0,15
2023-01-05 00:15:00,1.20361,1.20378,1.2033,1.20346,0,15
2023-01-05 00:30:00,1.20345,1.20389,1.20305,1.2037,0,15
2023-01-05 00:45:00,1.2037,1.20408,1.20342,1.20368,0,15
2023-01-05 01:00:00,1.2037,1.20504,1.20365,1.20484,0,15
2023-01-05 01:15:00,1.20485,1.20501,1.20366,1.20377,0,15
2023-01-05 01:30:00,1.20375,1.20399,1.20365,1.2038,0,15
2023-01-05 01:45:00,1.20379,1.2038,1.20229,1.20229,0,15
2023-01-05 02:00:00,1.20229,1.20314,1.20204,1.2027,0,15
2023-01-05 02:15:00,1.2027,1.20293,1.20222,1.20248,0,15
2023-01-05 02:30:00,1.20248,1.20283,1.20201,1.20209,0,15
2023-01-05 02:45:00,1.20207,1.20207,1.19994,1.20074,0,15
2023-01-05 03:00:00,1.20078,1.20163,1.19998,1.20061,0,15
2023-01-05 03:15:00,1.20059,1.20241,1.2003,1.20161,0,15
